player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Roberto Firmino Barbosa de Oliveira,2514,10.0,7.3517586904,7.0,0.0,1045.0,93.0,0.3579952267303102,0.2631894519236277,0.2505966587112171,0.0,Liverpool
Wayne Mark Rooney,2511,8.0,6.8949190527,5.0,0.0,1195.0,252.0,0.2867383512544803,0.2471297151505376,0.1792114695340501,0.0,Manchester United
Séamus Coleman,2501,1.0,1.7228314895,2.0,0.0,1398.0,215.0,0.0359856057576969,0.0619971347680927,0.0719712115153938,0.0,Everton
Shane Long,2497,10.0,7.9844306355,4.0,0.0,649.0,57.0,0.3604325190228274,0.2877848446916299,0.1441730076091309,0.0,Southampton
Memphis Depay,2494,2.0,4.3818552493,0.0,0.0,751.0,97.0,0.0721732157177225,0.1581262920757818,0.0,0.0,Manchester United
Ikechi Anya,2491,0.0,0.734730166,1.0,0.0,866.0,116.0,0.0,0.026545851039743,0.0361300682456844,0.0,Watford
Almen Abdi,2488,2.0,2.358758406,0.0,0.0,1020.0,142.0,0.0723472668810289,0.0853248619533762,0.0,0.0,Watford
James McCarthy,2484,2.0,1.017741553,2.0,0.0,1389.0,235.0,0.072463768115942,0.0368746939492753,0.072463768115942,0.0,Everton
John Ruddy,2484,0.0,0.0,0.0,0.0,905.0,724.0,0.0,0.0,0.0,0.0,Norwich City
Diego da Silva Costa,2479,12.0,11.809203979,5.0,0.0,818.0,49.0,0.435659540137152,0.4287326979064139,0.18152480839048,0.0,Chelsea
Jack Colback,2477,1.0,1.021766656,1.0,0.0,1175.0,248.0,0.0363342753330641,0.0371251510052482,0.0363342753330641,0.0,Newcastle United
James Philip Milner,2472,5.0,3.9768661796,11.0,0.0,1610.0,377.0,0.1820388349514562,0.1447888172184466,0.4004854368932038,0.0,Liverpool
Mousa Sidi Yaya Dembélé,2459,3.0,1.7568571145,1.0,0.0,1383.0,124.0,0.10980073200488,0.0643013990666937,0.0366002440016266,0.0,Tottenham Hotspur
Sergio Leonel Agüero del Castillo,2452,24.0,17.6730739255,2.0,0.0,740.0,49.0,0.8809135399673735,0.6486854214090538,0.0734094616639478,0.0,Manchester City
Raheem Sterling,2451,6.0,6.411888005,2.0,0.0,904.0,44.0,0.2203182374541003,0.235442644002448,0.0734394124847001,0.0,Manchester City
Kyle Naughton,2444,0.0,0.408008469,3.0,0.0,1388.0,197.0,0.0,0.0150248617880523,0.1104746317512275,0.0,Swansea City
Oriol Romeu Vidal,2440,1.0,2.50753823,0.0,0.0,830.0,151.0,0.0368852459016393,0.0924911642213115,0.0,0.0,Southampton
Lucas Pezzini Leiva,2438,0.0,0.553640256,1.0,0.0,1478.0,274.0,0.0,0.0204379093683347,0.036915504511895,0.0,Liverpool
